"Plot Title: FCR20_20250421_2"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 2407064, SEN S/N: 2407064)","Good Battery (LGR S/N: 2407064)","Bad Battery (LGR S/N: 2407064)","Coupler Attached (LGR S/N: 2407064)","Coupler Detached (LGR S/N: 2407064)","Host Connected (LGR S/N: 2407064)","Stopped (LGR S/N: 2407064)","End Of File (LGR S/N: 2407064)"
280,04/23/25 12:20:00 PM,10.846,,,,,,,
281,04/23/25 12:30:00 PM,10.944,,,,,,,
282,04/23/25 12:40:00 PM,10.944,,,,,,,
283,04/23/25 12:50:00 PM,10.944,,,,,,,
284,04/23/25 01:00:00 PM,10.944,,,,,,,
285,04/23/25 01:10:00 PM,10.944,,,,,,,
286,04/23/25 01:20:00 PM,10.944,,,,,,,
287,04/23/25 01:30:00 PM,10.846,,,,,,,
288,04/23/25 01:40:00 PM,10.846,,,,,,,
289,04/23/25 01:50:00 PM,10.944,,,,,,,
290,04/23/25 02:00:00 PM,10.846,,,,,,,
291,04/23/25 02:10:00 PM,10.846,,,,,,,
292,04/23/25 02:20:00 PM,10.944,,,,,,,
293,04/23/25 02:30:00 PM,10.944,,,,,,,
294,04/23/25 02:40:00 PM,10.944,,,,,,,
295,04/23/25 02:50:00 PM,10.944,,,,,,,
296,04/23/25 03:00:00 PM,10.944,,,,,,,
297,04/23/25 03:10:00 PM,10.944,,,,,,,
298,04/23/25 03:20:00 PM,10.944,,,,,,,
299,04/23/25 03:30:00 PM,10.944,,,,,,,
300,04/23/25 03:40:00 PM,10.944,,,,,,,
301,04/23/25 03:50:00 PM,10.944,,,,,,,
302,04/23/25 04:00:00 PM,10.944,,,,,,,
303,04/23/25 04:10:00 PM,10.944,,,,,,,
304,04/23/25 04:20:00 PM,10.944,,,,,,,
305,04/23/25 04:30:00 PM,10.944,,,,,,,
306,04/23/25 04:40:00 PM,10.944,,,,,,,
307,04/23/25 04:50:00 PM,10.944,,,,,,,
308,04/23/25 05:00:00 PM,10.944,,,,,,,
309,04/23/25 05:10:00 PM,10.944,,,,,,,
310,04/23/25 05:20:00 PM,10.944,,,,,,,
311,04/23/25 05:30:00 PM,10.944,,,,,,,
312,04/23/25 05:40:00 PM,10.944,,,,,,,
313,04/23/25 05:50:00 PM,10.944,,,,,,,
314,04/23/25 06:00:00 PM,10.944,,,,,,,
315,04/23/25 06:10:00 PM,10.944,,,,,,,
316,04/23/25 06:20:00 PM,10.944,,,,,,,
317,04/23/25 06:30:00 PM,10.944,,,,,,,
318,04/23/25 06:40:00 PM,10.944,,,,,,,
319,04/23/25 06:50:00 PM,10.944,,,,,,,
320,04/23/25 07:00:00 PM,10.944,,,,,,,
321,04/23/25 07:10:00 PM,10.944,,,,,,,
322,04/23/25 07:20:00 PM,10.944,,,,,,,
323,04/23/25 07:30:00 PM,10.944,,,,,,,
324,04/23/25 07:40:00 PM,10.944,,,,,,,
325,04/23/25 07:50:00 PM,10.944,,,,,,,
326,04/23/25 08:00:00 PM,10.944,,,,,,,
327,04/23/25 08:10:00 PM,10.944,,,,,,,
328,04/23/25 08:20:00 PM,10.944,,,,,,,
329,04/23/25 08:30:00 PM,10.944,,,,,,,
330,04/23/25 08:40:00 PM,10.944,,,,,,,
331,04/23/25 08:50:00 PM,10.944,,,,,,,
332,04/23/25 09:00:00 PM,10.944,,,,,,,
333,04/23/25 09:10:00 PM,10.944,,,,,,,
334,04/23/25 09:20:00 PM,10.944,,,,,,,
335,04/23/25 09:30:00 PM,10.944,,,,,,,
336,04/23/25 09:40:00 PM,10.944,,,,,,,
337,04/23/25 09:50:00 PM,10.944,,,,,,,
338,04/23/25 10:00:00 PM,10.944,,,,,,,
339,04/23/25 10:10:00 PM,10.944,,,,,,,
340,04/23/25 10:20:00 PM,10.944,,,,,,,
341,04/23/25 10:30:00 PM,10.944,,,,,,,
342,04/23/25 10:40:00 PM,10.944,,,,,,,
343,04/23/25 10:50:00 PM,10.944,,,,,,,
344,04/23/25 11:00:00 PM,10.944,,,,,,,
345,04/23/25 11:10:00 PM,10.944,,,,,,,
346,04/23/25 11:20:00 PM,10.944,,,,,,,
347,04/23/25 11:30:00 PM,10.944,,,,,,,
348,04/23/25 11:40:00 PM,10.944,,,,,,,
349,04/23/25 11:50:00 PM,10.944,,,,,,,
350,04/24/25 12:00:00 AM,10.944,,,,,,,
351,04/24/25 12:10:00 AM,10.944,,,,,,,
352,04/24/25 12:20:00 AM,10.944,,,,,,,
353,04/24/25 12:30:00 AM,10.944,,,,,,,
354,04/24/25 12:40:00 AM,10.944,,,,,,,
355,04/24/25 12:50:00 AM,10.944,,,,,,,
356,04/24/25 01:00:00 AM,10.944,,,,,,,
357,04/24/25 01:10:00 AM,10.944,,,,,,,
358,04/24/25 01:20:00 AM,10.944,,,,,,,
359,04/24/25 01:30:00 AM,10.944,,,,,,,
360,04/24/25 01:40:00 AM,10.944,,,,,,,
361,04/24/25 01:50:00 AM,10.944,,,,,,,
362,04/24/25 02:00:00 AM,10.944,,,,,,,
363,04/24/25 02:10:00 AM,10.944,,,,,,,
364,04/24/25 02:20:00 AM,10.944,,,,,,,
365,04/24/25 02:30:00 AM,10.944,,,,,,,
366,04/24/25 02:40:00 AM,10.944,,,,,,,
367,04/24/25 02:50:00 AM,10.944,,,,,,,
368,04/24/25 03:00:00 AM,10.944,,,,,,,
369,04/24/25 03:10:00 AM,10.944,,,,,,,
370,04/24/25 03:20:00 AM,10.944,,,,,,,
371,04/24/25 03:30:00 AM,10.944,,,,,,,
372,04/24/25 03:40:00 AM,10.944,,,,,,,
373,04/24/25 03:50:00 AM,10.944,,,,,,,
374,04/24/25 04:00:00 AM,10.944,,,,,,,
375,04/24/25 04:10:00 AM,10.944,,,,,,,
376,04/24/25 04:20:00 AM,10.944,,,,,,,
377,04/24/25 04:30:00 AM,10.944,,,,,,,
378,04/24/25 04:40:00 AM,10.944,,,,,,,
379,04/24/25 04:50:00 AM,10.944,,,,,,,
380,04/24/25 05:00:00 AM,10.944,,,,,,,
381,04/24/25 05:10:00 AM,10.944,,,,,,,
382,04/24/25 05:20:00 AM,10.944,,,,,,,
383,04/24/25 05:30:00 AM,10.944,,,,,,,
384,04/24/25 05:40:00 AM,10.944,,,,,,,
385,04/24/25 05:50:00 AM,10.944,,,,,,,
386,04/24/25 06:00:00 AM,10.944,,,,,,,
387,04/24/25 06:10:00 AM,10.944,,,,,,,
388,04/24/25 06:20:00 AM,10.944,,,,,,,
389,04/24/25 06:30:00 AM,10.944,,,,,,,
390,04/24/25 06:40:00 AM,10.944,,,,,,,
391,04/24/25 06:50:00 AM,10.944,,,,,,,
392,04/24/25 07:00:00 AM,10.944,,,,,,,
393,04/24/25 07:10:00 AM,10.944,,,,,,,
394,04/24/25 07:20:00 AM,10.944,,,,,,,
395,04/24/25 07:30:00 AM,10.944,,,,,,,
396,04/24/25 07:40:00 AM,10.944,,,,,,,
397,04/24/25 07:50:00 AM,10.944,,,,,,,
398,04/24/25 08:00:00 AM,10.944,,,,,,,
399,04/24/25 08:10:00 AM,10.944,,,,,,,
400,04/24/25 08:20:00 AM,10.944,,,,,,,
401,04/24/25 08:30:00 AM,10.944,,,,,,,
402,04/24/25 08:40:00 AM,10.944,,,,,,,
403,04/24/25 08:50:00 AM,10.944,,,,,,,
404,04/24/25 09:00:00 AM,10.944,,,,,,,
405,04/24/25 09:10:00 AM,10.944,,,,,,,
406,04/24/25 09:20:00 AM,10.944,,,,,,,
407,04/24/25 09:30:00 AM,10.944,,,,,,,
408,04/24/25 09:40:00 AM,10.944,,,,,,,
409,04/24/25 09:50:00 AM,10.944,,,,,,,
410,04/24/25 10:00:00 AM,10.944,,,,,,,
411,04/24/25 10:10:00 AM,10.944,,,,,,,
412,04/24/25 10:20:00 AM,10.944,,,,,,,
413,04/24/25 10:30:00 AM,10.944,,,,,,,
414,04/24/25 10:40:00 AM,10.944,,,,,,,
415,04/24/25 10:50:00 AM,10.944,,,,,,,
416,04/24/25 11:00:00 AM,10.944,,,,,,,
417,04/24/25 11:10:00 AM,10.944,,,,,,,
418,04/24/25 11:20:00 AM,10.944,,,,,,,
419,04/24/25 11:30:00 AM,10.944,,,,,,,
420,04/24/25 11:40:00 AM,10.944,,,,,,,
421,04/24/25 11:50:00 AM,10.944,,,,,,,
422,04/24/25 12:00:00 PM,10.944,,,,,,,
423,04/24/25 12:10:00 PM,10.944,,,,,,,
424,04/24/25 12:20:00 PM,10.944,,,,,,,
425,04/24/25 12:30:00 PM,10.944,,,,,,,
426,04/24/25 12:40:00 PM,10.944,,,,,,,
427,04/24/25 12:50:00 PM,10.944,,,,,,,
428,04/24/25 01:00:00 PM,10.944,,,,,,,
429,04/24/25 01:10:00 PM,10.944,,,,,,,
430,04/24/25 01:20:00 PM,10.944,,,,,,,
431,04/24/25 01:30:00 PM,10.944,,,,,,,
432,04/24/25 01:40:00 PM,10.944,,,,,,,
433,04/24/25 01:50:00 PM,10.944,,,,,,,
434,04/24/25 02:00:00 PM,10.944,,,,,,,
435,04/24/25 02:10:00 PM,10.944,,,,,,,
436,04/24/25 02:20:00 PM,10.944,,,,,,,
437,04/24/25 02:30:00 PM,10.944,,,,,,,
438,04/24/25 02:40:00 PM,10.944,,,,,,,
439,04/24/25 02:50:00 PM,10.944,,,,,,,
440,04/24/25 03:00:00 PM,10.944,,,,,,,
441,04/24/25 03:10:00 PM,10.944,,,,,,,
442,04/24/25 03:20:00 PM,10.944,,,,,,,
443,04/24/25 03:30:00 PM,10.944,,,,,,,
444,04/24/25 03:40:00 PM,10.944,,,,,,,
445,04/24/25 03:50:00 PM,10.944,,,,,,,
446,04/24/25 04:00:00 PM,10.944,,,,,,,
447,04/24/25 04:10:00 PM,10.944,,,,,,,
448,04/24/25 04:20:00 PM,10.944,,,,,,,
